Date Time VMFC
Date Time VMFC
Date Time VMFC
Date Time VMFC Temperature
2020-07-08 04:47:15 327.36 8.29
2020-07-08 04:52:15 327.09 7.65
2020-07-08 04:57:16 329.96 7.83
2020-07-08 05:02:17 327.47 7.91
2020-07-08 05:07:18 327.8 8.21
2020-07-08 05:12:18 326.98 7.67
2020-07-08 05:17:19 325.95 7.88
2020-07-08 05:22:20 328.66 7.92
2020-07-08 05:27:21 329.64 7.69
2020-07-08 05:32:21 329.69 8.09
2020-07-08 05:37:22 327.2 7.58
2020-07-08 05:42:23 326.71 7.7
2020-07-08 05:47:24 328.17 7.84
2020-07-08 05:52:25 325.63 7.97
2020-07-08 05:57:25 328.17 7.63
2020-07-08 06:02:26 326.17 8.05
2020-07-08 06:07:27 325.47 7.65
2020-07-08 06:12:28 326.28 8.05
2020-07-08 06:17:29 325.85 7.48
2020-07-08 06:22:29 325.85 7.97
2020-07-08 06:27:30 328.45 7.6
2020-07-08 06:32:31 327.8 8.55
2020-07-08 06:37:32 326.93 7.55
2020-07-08 06:42:33 326.22 7.92
2020-07-08 06:47:33 324.82 7.83
2020-07-08 06:52:34 325.09 7.42
2020-07-08 06:57:35 325.03 7.4
2020-07-08 07:02:36 324.87 7.67
2020-07-08 07:07:36 326.5 7.48
2020-07-08 07:12:37 325.14 7.7
2020-07-08 07:17:38 324.76 7.66
2020-07-08 07:22:39 327.96 8.55
2020-07-08 07:27:40 325.9 7.88
2020-07-08 07:32:40 325.3 7.64
2020-07-08 07:37:41 326.22 7.99
2020-07-08 07:42:42 325.9 8.27
2020-07-08 07:47:43 326.71 8.11
2020-07-08 07:52:43 325.2 7.42
2020-07-08 07:57:44 326.98 7.75
2020-07-08 08:02:45 324.65 7.82
2020-07-08 08:07:46 327.63 7.73
2020-07-08 08:12:47 326.12 7.6
2020-07-08 08:17:47 328.12 7.88
2020-07-08 08:22:48 327.15 7.17
2020-07-08 08:27:49 324.76 7.35
2020-07-08 08:32:50 327.52 7.68
2020-07-08 08:37:50 325.09 7.44
2020-07-08 08:42:51 325.09 7.89
2020-07-08 08:47:52 325.09 7.8
2020-07-08 08:52:53 325.9 7.47
2020-07-08 08:57:54 326.06 8.45
2020-07-08 09:02:54 325.52 7.33
2020-07-08 09:07:55 326.22 7.09
2020-07-08 09:12:56 325.85 8.49
2020-07-08 09:17:57 325.85 8.2
2020-07-08 09:22:58 327.31 7.97
2020-07-08 09:27:58 324.93 7.66
2020-07-08 09:32:59 327.36 7.87
2020-07-08 09:38:00 327.36 7.73
2020-07-08 09:43:01 325.85 7.83
2020-07-08 09:48:02 326.01 7.88
2020-07-08 09:53:03 325.74 7.54
2020-07-08 09:58:03 327.42 8.25
2020-07-08 10:03:04 327.96 7.94
2020-07-08 10:08:05 327.8 8.15
2020-07-08 10:13:06 328.23 7.8
2020-07-08 10:18:07 328.07 7.82
2020-07-08 10:23:08 328.17 7.78
2020-07-08 10:28:08 327.42 8.56
2020-07-08 10:33:09 328.5 8.03
2020-07-08 10:38:10 328.34 8.54
2020-07-08 10:43:11 329.31 8.37
2020-07-08 10:48:12 327.42 8.53
2020-07-08 10:53:12 329.15 8.56
2020-07-08 10:58:13 327.31 7.98
2020-07-08 11:03:14 330.61 8.31
2020-07-08 11:08:15 328.66 8.35
2020-07-08 11:13:16 329.69 7.82
2020-07-08 11:18:16 331.26 8.12
2020-07-08 11:23:17 331.1 8.5
2020-07-08 11:28:18 331.48 8.79
2020-07-08 11:33:19 332.83 8.19
2020-07-08 11:38:20 330.23 8.51
2020-07-08 11:43:20 333.1 8.8
2020-07-08 11:48:21 330.02 8.47
2020-07-08 11:53:22 333.91 8.8
2020-07-08 11:58:23 332.94 8.66
2020-07-08 12:03:24 334.08 8.53
2020-07-08 12:08:24 333.64 9.1
2020-07-08 12:13:25 333.37 8.46
2020-07-08 12:18:26 334.89 8.67
2020-07-08 12:23:27 335.32 8.84
2020-07-08 12:28:28 333.7 8.49
2020-07-08 12:33:28 335.27 8.88
2020-07-08 12:38:29 333.21 8.33
2020-07-08 12:43:30 335.43 8.62
2020-07-08 12:48:31 333.64 9.24
2020-07-08 12:53:31 333.43 8.97
2020-07-08 12:58:32 333.81 8.96
2020-07-08 13:03:33 333.91 8.84
2020-07-08 13:08:34 336.41 9.02
2020-07-08 13:13:35 335.11 9.07
2020-07-08 13:18:35 338.41 9.01
2020-07-08 13:23:36 335.21 8.56
2020-07-08 13:28:37 337.6 9.14
2020-07-08 13:33:38 334.78 8.74
2020-07-08 13:38:38 337.87 8.76
2020-07-08 13:43:39 337.43 8.93
2020-07-08 13:48:40 336.84 9.17
2020-07-08 13:53:41 338.52 9.07
2020-07-08 13:58:42 336.24 8.82
2020-07-08 14:03:42 338.52 9.44
2020-07-08 14:08:43 339.38 9.42
2020-07-08 14:13:44 338.46 9.74
2020-07-08 14:18:45 337.38 9.51
2020-07-08 14:23:46 337.33 9.5
2020-07-08 14:28:46 338.79 9.79
