Date Time VMFC
Date Time VMFC
Date Time VMFC
2020-07-06 12:31:46 534.34 8.98
Date Time VMFC
Date Time VMFC
2020-07-08 02:21:05 560.44 8.11
2020-07-08 02:26:06 515.82 8.37
2020-07-08 02:31:07 581.94 8.52
2020-07-08 02:36:07 532.88 8.17
2020-07-08 02:41:08 577.23 8.12
2020-07-08 02:46:09 564.18 7.96
2020-07-08 02:51:09 543.0 8.45
2020-07-08 02:56:10 537.32 8.8
2020-07-08 03:01:11 573.44 8.81
2020-07-08 03:06:11 531.9 8.59
2020-07-08 03:11:12 590.88 8.08
2020-07-08 03:16:13 554.76 7.89
2020-07-08 03:21:13 534.29 8.03
2020-07-08 03:26:14 552.43 8.39
2020-07-08 03:31:15 577.88 8.03
2020-07-08 03:36:16 543.71 8.11
2020-07-08 03:41:16 554.97 7.88
2020-07-08 03:46:17 532.55 8.49
2020-07-08 03:51:18 582.05 8.26
2020-07-08 03:56:18 579.18 7.63
2020-07-08 04:01:19 532.71 8.0
2020-07-08 04:06:20 571.6 8.04
2020-07-08 04:11:20 558.11 7.89
2020-07-08 04:16:21 542.52 7.8
2020-07-08 04:21:22 542.84 7.98
2020-07-08 04:26:22 562.99 7.36
2020-07-08 04:31:23 549.99 7.6
2020-07-08 04:36:24 580.86 8.69
2020-07-08 04:41:24 569.59 8.14
2020-07-08 04:46:25 525.4 7.8
2020-07-08 04:51:26 566.56 7.6
2020-07-08 04:56:26 555.62 8.14
2020-07-08 05:01:27 544.41 8.46
2020-07-08 05:06:28 580.05 8.27
2020-07-08 05:11:29 567.81 8.13
2020-07-08 05:16:29 552.1 8.0
2020-07-08 05:21:30 555.68 7.87
2020-07-08 05:26:31 562.61 8.41
2020-07-08 05:31:31 564.83 7.66
2020-07-08 05:36:32 560.77 7.49
2020-07-08 05:41:33 550.37 7.98
2020-07-08 05:46:33 557.08 8.02
2020-07-08 05:51:34 573.44 8.39
2020-07-08 05:56:35 571.98 7.82
2020-07-08 06:01:35 590.61 8.1
2020-07-08 06:06:36 561.42 7.95
2020-07-08 06:11:37 560.82 8.08
2020-07-08 06:16:37 529.25 8.47
2020-07-08 06:21:38 569.05 7.57
2020-07-08 06:26:39 536.23 7.53
2020-07-08 06:31:40 535.42 7.79
2020-07-08 06:36:40 536.13 8.08
2020-07-08 06:41:41 569.43 7.42
2020-07-08 06:46:42 556.16 7.4
2020-07-08 06:51:42 535.69 7.6
2020-07-08 06:56:43 546.85 8.25
2020-07-08 07:01:44 528.0 7.55
2020-07-08 07:06:44 558.6 7.48
2020-07-08 07:11:45 533.58 7.62
2020-07-08 07:16:46 549.61 7.72
2020-07-08 07:21:46 524.86 8.4
2020-07-08 07:26:47 531.69 7.6
2020-07-08 07:31:48 559.03 7.51
2020-07-08 07:36:49 559.58 7.59
2020-07-08 07:41:49 557.52 8.13
2020-07-08 07:46:50 546.14 7.8
2020-07-08 07:51:51 523.56 7.46
2020-07-08 07:56:51 566.89 8.22
2020-07-08 08:01:52 513.65 7.61
2020-07-08 08:06:53 549.56 8.26
2020-07-08 08:11:53 574.63 8.22
2020-07-08 08:16:54 532.71 7.55
2020-07-08 08:21:55 574.2 8.38
2020-07-08 08:26:55 535.1 8.43
2020-07-08 08:31:56 537.43 7.39
2020-07-08 08:36:57 507.48 7.91
2020-07-08 08:41:57 584.0 7.32
2020-07-08 08:46:58 573.06 8.07
2020-07-08 08:51:59 532.71 7.76
2020-07-08 08:56:59 561.2 7.85
2020-07-08 09:02:00 565.32 7.41
2020-07-08 09:07:01 541.49 7.43
2020-07-08 09:12:01 538.46 7.94
2020-07-08 09:17:02 563.53 8.3
2020-07-08 09:22:03 527.03 7.73
2020-07-08 09:27:03 514.95 7.88
2020-07-08 09:32:04 565.64 7.38
2020-07-08 09:37:05 542.08 7.47
2020-07-08 09:42:06 554.21 7.6
2020-07-08 09:47:06 569.86 8.2
2020-07-08 09:52:07 554.92 7.78
2020-07-08 09:57:08 541.05 7.75
2020-07-08 10:02:08 566.99 7.68
2020-07-08 10:07:09 574.03 7.3
2020-07-08 10:12:10 586.6 7.86
2020-07-08 10:17:10 549.02 7.57
2020-07-08 10:22:11 575.55 8.13
2020-07-08 10:27:12 546.25 7.91
2020-07-08 10:32:13 572.79 8.18
2020-07-08 10:37:13 584.81 8.44
2020-07-08 10:42:14 579.72 8.47
2020-07-08 10:47:15 544.2 8.37
2020-07-08 10:52:15 569.0 8.17
2020-07-08 10:57:16 567.05 8.25
2020-07-08 11:02:17 544.52 7.72
2020-07-08 11:07:18 536.18 8.25
2020-07-08 11:12:18 568.24 8.44
2020-07-08 11:17:19 567.75 8.45
2020-07-08 11:22:20 524.21 8.02
2020-07-08 11:27:20 591.26 8.57
2020-07-08 11:32:21 534.01 8.2
2020-07-08 11:37:22 564.61 8.82
2020-07-08 11:42:23 567.21 8.4
2020-07-08 11:47:23 563.53 8.62
2020-07-08 11:52:24 576.8 8.59
2020-07-08 11:57:25 538.24 9.03
2020-07-08 12:02:25 563.91 8.43
2020-07-08 12:07:26 577.99 8.65
2020-07-08 12:12:27 562.93 8.93
2020-07-08 12:17:27 577.01 8.78
2020-07-08 12:22:28 575.39 8.81
2020-07-08 12:27:29 594.99 9.06
2020-07-08 12:32:29 557.79 8.71
2020-07-08 12:37:30 526.05 8.35
2020-07-08 12:42:31 569.65 9.0
2020-07-08 12:47:32 557.25 8.62
2020-07-08 12:52:32 526.49 8.87
2020-07-08 12:57:33 565.48 8.54
2020-07-08 13:02:34 584.22 8.96
2020-07-08 13:07:34 528.38 9.23
2020-07-08 13:12:35 574.58 8.41
2020-07-08 13:17:36 586.44 9.34
2020-07-08 13:22:36 529.57 8.92
2020-07-08 13:27:37 538.94 9.36
2020-07-08 13:32:38 592.66 9.04
2020-07-08 13:37:38 571.27 9.64
2020-07-08 13:42:39 578.91 9.21
2020-07-08 13:47:40 573.17 9.51
2020-07-08 13:52:40 587.19 9.17
2020-07-08 13:57:41 536.94 8.76
2020-07-08 14:02:42 578.31 9.39
2020-07-08 14:07:42 545.71 9.67
2020-07-08 14:12:43 528.27 9.0
2020-07-08 14:17:44 592.12 9.49
2020-07-08 14:22:44 579.94 9.68
2020-07-08 14:27:45 569.11 9.33
2020-07-08 14:32:46 559.47 9.36
2020-07-08 14:37:46 539.0 8.95
2020-07-08 14:42:47 602.84 9.51
2020-07-08 14:47:48 565.32 9.22
2020-07-08 14:52:48 532.55 9.34
2020-07-08 14:57:49 555.57 9.32
2020-07-08 15:02:50 591.85 9.95
2020-07-08 15:07:51 571.54 9.16
2020-07-08 15:12:51 566.62 9.66
2020-07-08 15:17:52 595.21 9.78
2020-07-08 15:22:53 570.89 9.52
2020-07-08 15:27:53 547.72 9.38
2020-07-08 15:32:54 560.33 10.24
2020-07-08 15:37:55 548.37 10.47
2020-07-08 15:42:55 537.86 9.75
2020-07-08 15:47:56 534.01 10.13
2020-07-08 15:52:57 565.37 9.97
2020-07-08 15:57:58 583.62 9.64
2020-07-08 16:02:58 560.44 9.93
2020-07-08 16:07:59 558.28 9.27
2020-07-08 16:13:00 547.44 9.67
2020-07-08 16:18:00 539.92 10.24
2020-07-08 16:23:01 568.56 10.06
2020-07-08 16:28:02 559.03 9.58
2020-07-08 16:33:02 585.57 9.96
2020-07-08 16:38:03 587.25 10.22
2020-07-08 16:43:04 554.11 9.68
2020-07-08 16:48:04 585.46 9.66
2020-07-08 16:53:05 529.79 9.75
2020-07-08 16:58:06 544.2 9.71
2020-07-08 17:03:06 581.51 10.11
2020-07-08 17:08:07 561.36 9.59
2020-07-08 17:13:08 538.13 9.98
2020-07-08 17:18:08 564.56 9.82
2020-07-08 17:23:09 532.12 9.63
2020-07-08 17:28:10 542.03 10.04
2020-07-08 17:33:10 559.3 10.02
2020-07-08 17:38:11 573.06 10.24
2020-07-08 17:43:12 570.19 9.78
2020-07-08 17:48:13 574.03 9.57
2020-07-08 17:53:13 592.28 10.05
2020-07-08 17:58:14 568.24 10.07
2020-07-08 18:03:15 598.4 9.71
2020-07-08 18:08:15 581.78 9.51
2020-07-08 18:13:16 579.5 10.11
2020-07-08 18:18:17 521.78 9.66
2020-07-08 18:23:17 545.01 9.67
2020-07-08 18:28:18 566.4 10.16
2020-07-08 18:33:19 559.3 9.63
2020-07-08 18:38:19 594.83 10.34
